,gene,scores,log2FoldChange,pvalue,padj,baseMean
52,Gene_1415,1.0697602,0.24735852,0.28472728559906446,0.6052235480731621,870.583973808215
53,Gene_1401,0.9459766,0.17892118,0.3441605077473737,0.6754867669232066,4731.205827651397
54,Gene_0143,0.8925667,0.3227506,0.3720892798847173,0.7094171208478881,4257.378088829277
55,Gene_0204,0.86630666,0.23022936,0.38632202263519166,0.7268523473851207,3361.660569779086
56,Gene_0491,0.8582835,0.19009745,0.39073593081778757,0.7317152262505385,2338.363026953006
57,Gene_0613,0.8287786,0.14201555,0.40722967228067175,0.753703820659635,2088.239430843317
58,S100a9,0.80958337,0.17267916,0.41817966794556394,0.7631590419998594,3272.3186623972233
59,Gene_0028,0.742838,0.19291513,0.4575797490566781,0.804889620152468,2749.8877535641823
60,Gene_0421,0.7395521,0.20020595,0.45957181341010067,0.805559707993165,358.2518741153338
61,Gene_0396,0.73565006,0.16250753,0.4619436842245044,0.8073398928255121,2586.888111413142
62,Gene_1005,0.7094722,0.21737948,0.4780314960797818,0.8263292931370472,4041.6979053025557
63,Gene_0875,0.70499516,0.16002357,0.4808132672358053,0.8290287761343432,2323.2373941049423
64,Gene_0102,0.6948088,0.1778238,0.48717515574598147,0.8349188616040814,307.18505889362865
65,Gene_1628,0.6914544,0.3960083,0.4892800391705918,0.8378082862510134,3942.077086950964
66,Gene_0796,0.6855397,0.16339137,0.4930034067970489,0.8404434236586192,1046.7507215730732
67,Gene_0626,0.6852659,0.20986925,0.4931761518552973,0.8404434236586192,1330.173132695792
68,Gene_1786,0.6784339,0.14879163,0.4974966176541782,0.8433028635348413,865.2964494898647
69,Gene_1405,0.6656325,0.2585792,0.5056460337666282,0.8551794208024793,1684.5645711139127
70,Gene_0645,0.66099113,0.17476982,0.5086180070435702,0.8581326663731322,3795.9199531587433
71,Gene_1603,0.657404,0.18953438,0.5109211882467948,0.8605516021318638,2620.96000454449
72,Gene_1148,0.63041836,0.14090867,0.5284209201525232,0.8716024985346577,1064.1623070460273
73,Gene_0679,0.6260782,0.185454,0.5312636681021627,0.8723541348147171,4395.258886852602
74,Gene_0794,0.6163573,0.32989618,0.5376587204259418,0.8789521093607279,4403.930182010069
75,Gene_0847,0.6146322,0.31186563,0.5387976430381262,0.8789521093607279,4359.363203977734
76,Gene_0264,0.61376965,0.14886752,0.5393675575696937,0.8791647230149856,1232.0412463386194
77,Gene_1843,0.5857298,0.13251057,0.5580571341149492,0.8957578396708654,2283.634753695891
78,Gene_0840,0.5718878,0.14099875,0.5673979902962751,0.9056631928112931,4925.698797897332
79,Gene_1074,0.55829227,0.16992688,0.5766448116069421,0.9102522677299798,3871.4617577344525
80,Gene_1758,0.55712855,0.14922597,0.5774396222140303,0.9107880476561993,184.4787350665211
81,Gene_1487,0.5559237,0.117562905,0.5782630280587391,0.9113680505259876,372.76272673943566
82,Gene_1377,0.5551022,0.1729154,0.5788247575009483,0.9115350511825957,2346.460315221047
83,Gene_1741,0.54249245,0.097148746,0.587479296791541,0.9179364012367828,4550.640019014722
84,Gene_1304,0.5395488,0.11568817,0.5895082173570143,0.9199790391212301,2716.5738998659353
85,Gene_1204,0.5263093,0.24011649,0.5986733319444766,0.9272690098055704,2514.1719147697368
86,Gene_1449,0.52164054,0.26040736,0.601920634833889,0.9282667739113437,572.0948147853214
87,Gene_0447,0.52112025,0.14214012,0.6022829956615173,0.9282667739113437,3301.0615183852556
88,Gene_1078,0.5067443,0.26048192,0.612334212512458,0.935604932469893,4119.410644971116
89,Gene_1808,0.50671697,0.18647572,0.6123534283015449,0.935604932469893,1933.0790371624335
90,Gene_1004,0.5019387,0.12323907,0.6157106566749828,0.9386461540875887,3889.278662080371
91,Gene_0035,0.48824733,0.13355002,0.6253746664162486,0.9441374050877864,4824.159436809017
92,Gene_1177,0.48560488,0.9088456,0.627247325246042,0.9448689299821612,1058.6439726820608
93,Gene_0088,0.4853995,0.1183404,0.627392969508155,0.9448689299821612,2640.4816744139694
94,Gene_1716,0.47328267,0.11391418,0.6360115189670618,0.9516386150675211,1471.332892518649
95,Gene_0730,0.46617687,0.12878935,0.6410889072968262,0.9532920554599646,3974.629374217505
96,Gene_1173,0.459961,0.15299092,0.6455442203289585,0.9556539161050459,2909.0871611117295
97,Gene_1617,0.45147234,0.2976048,0.6516491467989372,0.9580094180948654,3191.182966874004
98,Gene_0755,0.44800845,0.113292865,0.6541471050144448,0.9584572967244613,3999.675090098676
99,Gene_1302,0.44165567,0.09180576,0.6587384051374339,0.9602600657980085,2010.0538396791517
100,Gene_0621,0.43434447,0.10125824,0.6640383150279837,0.9608718787332376,4579.6958386148635
101,Gene_0573,0.43107224,0.16678731,0.6664158464605248,0.9608718787332376,2688.4928928683926
102,Mrc1,0.43027815,0.19615361,0.6669933274458255,0.9608718787332376,831.8763730349726
103,Gene_1533,0.42888162,0.12521929,0.6680093759791943,0.9608718787332376,3494.700634935572
104,Gene_1751,0.42784107,0.29556203,0.6687668275983334,0.9608718787332376,3976.643684669359
105,Gene_0586,0.4259106,0.28731015,0.6701729925124598,0.9615107496591963,1617.970301484257
106,Gene_0924,0.423542,0.111631624,0.6718998667869607,0.9616924995747105,4293.037322143828
107,Gene_0502,0.42233714,0.0919928,0.6727789423940589,0.9616924995747105,4535.409111090544
108,Gene_1520,0.4040866,0.7370163,0.6861490520701454,0.9657270261367282,1420.6772125201542
109,Gene_1766,0.39719984,0.13516778,0.691220106795208,0.9674179241360503,4918.431289940349
110,Gene_1653,0.39221618,0.11584816,0.6948984910558407,0.9678251964566027,746.5220638413541
111,Gene_1623,0.3888618,0.17017141,0.6973783836969452,0.9679089294891674,1049.9775585923253
112,Gene_1297,0.38704085,0.0811289,0.6987259681602319,0.9680488941325401,961.9129542282293
113,Gene_0831,0.38542527,0.10642893,0.6999223649341245,0.9680807260499648,4475.249064538959
114,Gene_0603,0.3820709,0.104658894,0.702408785926744,0.9681402306979484,3288.748134008561
115,Gene_1130,0.38148215,0.13128097,0.7028455077937619,0.9681402306979484,802.9162019502508
116,Gene_1501,0.38049638,0.066544466,0.7035769825851592,0.9681402306979484,2229.6009209233275
117,Gene_0208,0.3801541,0.08693137,0.7038310311026956,0.9681402306979484,3095.72522409552
118,Gene_1748,0.3793463,0.12995076,0.704430716631,0.9681402306979484,463.14722069744727
119,Gene_0205,0.37878495,0.10704091,0.7048475555090363,0.9681402306979484,4417.961023616327
120,Gene_1633,0.37630683,0.10559852,0.7066888045490152,0.9681402306979484,4027.837500435599
121,Gene_1051,0.3750883,0.18889965,0.7075948007141936,0.9681402306979484,2550.7735292043594
122,Gene_1273,0.3706523,0.12121974,0.7108965238257893,0.9681402306979484,4837.276745532894
123,Gene_0944,0.37029633,0.4784367,0.7111617131526045,0.9681402306979484,2117.9168474117437
124,Gene_0261,0.3691052,0.1083836,0.7120493314730668,0.9681402306979484,4921.346079230664
125,Gene_0078,0.35816577,0.11658627,0.7202192508805001,0.9705324635063967,3356.203994077954
126,Gene_0403,0.35685143,0.095758125,0.7212030433943591,0.9705324635063967,3191.6228026070103
127,Gene_0566,0.3543459,0.1784392,0.7230796751093141,0.9705324635063967,871.4767317141358
128,Gene_1611,0.35177192,0.08471734,0.7250093166025571,0.9705324635063967,4415.542403607988
129,Gene_0478,0.34934855,0.18745847,0.7268276513063578,0.9705324635063967,2166.073955207045
130,Gene_1615,0.34841755,0.08466315,0.7275266305648562,0.9705324635063967,853.0553586232728
131,Gene_0728,0.34667873,0.06325669,0.7288326839767587,0.9705324635063967,112.40722388000725
132,Gene_1764,0.34570664,0.5259416,0.7295631832500697,0.9705324635063967,2820.790634009994
133,Gene_1090,0.34540543,0.5110184,0.7297895849928837,0.9705324635063967,2660.6281295072476
134,Gene_0629,0.34424168,0.09352145,0.7306645401606024,0.9705324635063967,3610.800430727335
135,Gene_0938,0.34303683,0.052987628,0.7315707454566633,0.9705324635063967,4456.777362438121
136,Gene_0748,0.3407504,0.22426733,0.7332915050300169,0.9705324635063967,443.06259398299613
137,Gene_0835,0.3388199,0.10324627,0.7347454064647292,0.9705324635063967,3670.9076271847935
138,Gene_1580,0.32448506,0.8166695,0.7455708334070676,0.9741689052395629,977.689123283032
139,Gene_0356,0.3244166,0.065158494,0.7456226534408874,0.9741689052395629,4297.976413127962
140,Gene_0548,0.3242797,0.068114124,0.7457262969608853,0.9741689052395629,4104.3643936151975
141,Gene_0170,0.32307485,0.14386171,0.7466385581670099,0.9741693029898554,2726.9290871784447
142,Gene_1783,0.3229927,0.22717577,0.7467007707417241,0.9741693029898554,3565.701853185392
143,Gene_0080,0.32089794,0.10215841,0.7482877480968632,0.9756033221601866,1606.0330602595545
144,Gene_0077,0.3139564,0.3606855,0.7535541480189241,0.9776691773825451,2382.2810997174324
145,Gene_0467,0.31377843,0.085319206,0.753689335973383,0.9776691773825451,4117.102643666834
146,Gene_0513,0.3130391,0.07528036,0.7542509667138406,0.9776691773825451,2323.362726007409
147,Gene_1271,0.3130117,0.1862206,0.7542717703506335,0.9776691773825451,1821.101413360937
148,Gene_1344,0.31091693,0.30811608,0.7558637760955887,0.9776839258608778,2496.3516138889845
149,Gene_1386,0.3090823,0.11701557,0.7572589339999773,0.9783707157622447,4149.8337995642305
150,Gene_0468,0.30346882,0.07281205,0.7615325974824221,0.9799214605954355,1709.27983448582
151,Gene_1868,0.30167526,0.08889178,0.7628996269121661,0.9799214605954355,910.1198860219318
152,Gene_1507,0.29769108,0.05000314,0.7659389519693212,0.9799214605954355,3574.4694006373647
153,Gene_0387,0.29314554,0.06448904,0.7694109005925966,0.9802102110474168,4138.592152905005
154,Gene_0987,0.2835479,0.06782922,0.7767568587824317,0.9838592258168863,548.15551869149
155,Gene_1875,0.28157637,0.044635497,0.7782683704842168,0.9847675181074299,1237.3768581419263
156,Gene_0758,0.27946788,0.092053585,0.7798857769308067,0.9847675181074299,752.7613493169198
157,Gene_1007,0.27935836,0.089669146,0.7799698241504796,0.9847675181074299,1772.3099873317249
158,Gene_1481,0.27845472,0.07041039,0.7806633117552085,0.9847675181074299,2279.2373455817924
159,Gene_0935,0.2766064,0.11646424,0.7820823521245859,0.9847675181074299,3756.690367968367
160,Gene_1799,0.26982918,0.19140506,0.7872916746755105,0.9871995920696057,3273.1805451642867
161,Gene_0164,0.26555747,0.16670972,0.7905800395090653,0.9875625330499241,3123.596409018234
162,Gene_1314,0.26553008,0.38515106,0.7906011308698585,0.9875625330499241,1794.2559857177894
163,Gene_1270,0.26062858,0.15692759,0.7943789409263227,0.9886483396718391,4215.165387769562
164,Gene_0951,0.25895825,0.26804027,0.7956674585562173,0.9894961389506476,2382.871478620915
165,Gene_0039,0.25827366,0.11508623,0.7961957007957946,0.9894961389506476,4896.569443175015
166,Gene_0575,0.25782186,0.05870627,0.7965443918552714,0.9894961389506476,3189.003584563897
167,Gene_0060,0.25344062,0.06979068,0.7999277352420686,0.9908083087882503,675.0104707442886
168,Gene_1477,0.25278345,0.22221813,0.8004355624401063,0.9908083087882503,3397.078932273398
169,Gene_1897,0.25260547,0.07423326,0.8005731135009063,0.9908083087882503,1659.26487638691
170,Gene_0369,0.25153753,0.030918041,0.8013985495978531,0.9911795773852945,3447.3196235961823
171,Gene_0601,0.2474712,0.042594068,0.8045435785172366,0.9920389377524494,394.7236834039084
172,Gene_0915,0.2468277,0.07318486,0.8050415681431963,0.9920413655492253,915.6631140209989
173,Gene_1295,0.24458233,0.7874268,0.806779852387288,0.9929989651550427,4285.899431583643
174,Gene_0155,0.24454124,0.062862486,0.8068116591884722,0.9929989651550427,1174.5388072663986
175,Gene_1806,0.24313104,0.6285912,0.8079038861372628,0.993731717266006,4193.353569952554
176,Gene_0065,0.23781879,0.37250754,0.8120216404519763,0.9937850874651752,1432.4166378493317
177,Gene_1482,0.23643596,0.06898721,0.8130943884200377,0.9937850874651752,3232.2654547906027
178,Gene_0849,0.23602523,0.049533486,0.813413094090246,0.9937850874651752,3486.0453388736637
179,Gene_0756,0.23264347,0.27720833,0.8160382739197019,0.9938967717110478,2587.641028068012
180,Gene_1341,0.23226011,0.059661616,0.8163359960711617,0.9938967717110478,1561.28784964882
181,Gene_0390,0.22982304,0.06642336,0.8182292765317245,0.9938967717110478,1102.589663036926
182,Gene_1700,0.22570194,0.03904735,0.8214332428702953,0.9952025904212801,214.2873050840098
183,Gene_0479,0.22266246,0.023484612,0.8237982144192159,0.9955265431047926,1554.5346861415828
184,Gene_1419,0.22200528,0.063938305,0.8243097708500077,0.9955432015096711,3283.1558131298507
185,Gene_0914,0.21710378,0.06532576,0.8281274693126301,0.9977439389308798,4694.608851319989
186,Gene_1497,0.21585786,0.062335037,0.8290985412558164,0.9983125120479427,4362.462187202107
187,Gene_1510,0.21333866,0.05686475,0.8310628238865161,0.9985495351222384,3842.020643849748
188,Csf1r,0.21258563,0.23377344,0.8316501791237123,0.9985495351222384,3952.8143491038286
189,Gene_0602,0.19682689,0.055912673,0.8439630111834591,0.9989941797423008,3341.6752722061765
190,Gene_1066,0.19206229,0.038683005,0.847693409544136,0.9989941797423008,1338.4199449517148
191,Gene_0647,0.18900913,0.050836127,0.8500856665534565,0.9989941797423008,4540.615401993858
192,Gene_0805,0.18837932,0.07473445,0.8505793091228406,0.9989941797423008,3370.1249439338785
193,Gene_1256,0.1881055,0.0243329,0.8507939546065684,0.9989941797423008,2824.1811233531776
194,Gene_0336,0.18770844,0.41457915,0.8511052101926327,0.9989941797423008,599.3978726067313
195,Gene_0512,0.18609287,0.09325105,0.8523719371803969,0.9989941797423008,2262.924941841806
196,Gene_1054,0.18469635,0.10277357,0.8534672116199209,0.9989941797423008,2328.773442449535
197,Gene_0474,0.18455943,0.035271224,0.8535746067083022,0.9989941797423008,4329.589867137216
198,Gene_1114,0.18308076,0.044307727,0.854734646179176,0.9989941797423008,2755.908689929553
199,Gene_1747,0.18132827,0.04216103,0.8561099142919405,0.9989941797423008,1932.9827174035277
200,Gene_0005,0.1804794,0.050741255,0.8567762171717284,0.9989941797423008,4885.161626127764
201,Gene_1003,0.17581066,0.037597883,0.8604426953537194,0.9989941797423008,598.0669369652626
202,Gene_0017,0.17423615,0.06703643,0.8616798736741206,0.9989941797423008,2141.614720144126
203,Gene_0830,0.17297655,0.031078348,0.8626698608763574,0.9989941797423008,258.0221420984562
204,Gene_1845,0.17086808,0.012309105,0.8643274953798064,0.9989941797423008,3712.5253977963052
205,Gene_1411,0.16754109,0.038779713,0.8669443254983313,0.9989941797423008,4594.478933385795
206,Gene_0872,0.16748631,0.044246644,0.8669874131747793,0.9989941797423008,1436.1847812749227
207,Gene_1768,0.16344737,-0.0029848535,0.870166210304094,0.9989941797423008,4298.791300155648
208,Gene_1249,0.1634063,0.04066693,0.8701985479225234,0.9989941797423008,1496.480240786394
209,Gene_0883,0.16222884,0.496324,0.8711256517341017,0.9989941797423008,4558.312300137381
210,Gene_0754,0.16124307,0.03897264,0.8719019679304718,0.9989941797423008,3782.1114228040806
211,Gene_0325,0.15843633,0.050088868,0.8741129860604517,0.9989941797423008,4034.288545365121
212,Gene_0815,0.15460275,0.082847886,0.8771344988474704,0.9989941797423008,139.13245022224976
213,Gene_1836,0.15242583,0.084515914,0.8788510866716617,0.9989941797423008,4815.911267516429
214,Gene_0770,0.15022153,0.01632757,0.8805898472473225,0.9989941797423008,3647.0214107481
215,Gene_0459,0.14949588,0.028215092,0.8811623606596387,0.9989941797423008,1558.5179221613598
216,Gene_1445,0.14853749,0.02813952,0.8819186055891597,0.9989941797423008,4155.5035910512925
217,Gene_1031,0.1470862,0.03274129,0.883063981219357,0.9989941797423008,1443.5299321539032
218,Gene_0857,0.14540216,0.07198515,0.8843933555000609,0.9989941797423008,4370.131505852333
219,Gene_1549,0.14515573,0.00805014,0.8845879254728253,0.9989941797423008,607.2729325390882
220,Gene_0260,0.14341691,-0.0030608235,0.8859609218645883,0.9989941797423008,3533.245588430939
221,Gene_1053,0.14330739,-0.0012472413,0.8860474213334306,0.9989941797423008,2726.457459392306
222,Gene_0366,0.13844696,0.06253999,0.8898871873919142,0.9989941797423008,527.845627467432
223,Gene_0708,0.13643433,0.022436928,0.8914779368503263,0.9989941797423008,1247.374449881253
224,Gene_0350,0.13558547,0.026416024,0.8921489965439667,0.9989941797423008,111.3999795727082
225,Gene_1639,0.13475029,0.42473853,0.8928093080771278,0.9989941797423008,2370.4014290493037
226,Gene_0772,0.13440801,0.35607687,0.8930799490534345,0.9989941797423008,1541.2630407620018
227,Gene_1527,0.132368,0.2375467,0.8946932264544436,0.9989941797423008,3011.869547273906
228,Gene_1437,0.12800045,0.12629813,0.8981486124151188,0.9989941797423008,1521.327148157655
229,Gene_1781,0.12613843,0.01284287,0.8996223462860049,0.9989941797423008,1534.5996019595743
230,Gene_1125,0.123550765,0.05101308,0.9016709766611273,0.9989941797423008,3728.8063337214367
231,Gene_0211,0.119333826,0.052026477,0.9050108829314469,0.9989941797423008,288.30703809284955
232,Gene_1578,0.116266966,-0.013367095,0.907440964940122,0.9989941797423008,4519.330226200337
233,Gene_0582,0.11548656,0.09637742,0.9080594732432643,0.9989941797423008,4268.706178236348
234,Gene_1816,0.115335956,0.01758762,0.9081788409233698,0.9989941797423008,3355.633181970712
235,Gene_0631,0.114555545,0.027616363,0.9087974156883404,0.9989941797423008,2986.4467720315524
236,Gene_0797,0.11385729,0.027650079,0.9093509242085757,0.9989941797423008,4466.897365791278
237,Gene_1830,0.111324385,-0.010738745,0.9113591166195064,0.9989941797423008,967.3843886671365
238,Gene_0490,0.10858612,0.47373357,0.9135307721322425,0.9989941797423008,440.89735284460164
239,Gene_0917,0.10540973,0.21389675,0.9160507005242783,0.9989941797423008,1235.5753410522136
240,Gene_0084,0.10287683,-0.026927583,0.918060732150989,0.9989941797423008,3983.162479565942
241,Gene_1101,0.10250716,0.07479218,0.9183541322266574,0.9989941797423008,221.61782029609245
242,Gene_0372,0.1021238,-0.005586993,0.9186584107147343,0.9989941797423008,2934.8938336632737
243,Gene_0162,0.1010148,0.08196608,0.9195387118326073,0.9989941797423008,4977.415705146984
244,Gene_0517,0.1010148,0.10380054,0.9195387118326073,0.9989941797423008,4285.69566449582
245,Gene_1274,0.098303914,0.006591679,0.9216909720215564,0.9989941797423008,2631.1561607657677
246,Gene_1178,0.09618175,0.0010432756,0.923376223256516,0.9989941797423008,365.0225009688796
247,Gene_0276,0.094620936,-0.0021045504,0.9246159183365635,0.9989941797423008,4165.298896209264
248,Gene_0375,0.09329288,0.030941647,0.9256708909018689,0.9989941797423008,3014.943615477192
249,Gene_0657,0.09301905,-0.0123017095,0.9258884273337481,0.9989941797423008,618.9183354448559
250,Gene_0557,0.09097904,-0.017593833,0.9275092470657373,0.9989941797423008,514.5935598756132
251,Gene_0320,0.08600908,0.013051477,0.9314592014111156,0.9989941797423008,4552.652756211132
252,Gene_0455,0.08532451,-0.01900785,0.9320034067691365,0.9989941797423008,3362.5413015434883
253,Gene_1389,0.08250409,0.056413844,0.9342458653427684,0.9989941797423008,4154.96965661794
254,Gene_0405,0.08097066,0.32411066,0.935465286251918,0.9989941797423008,4400.945556397223
255,Gene_0604,0.080340855,0.062342018,0.935966163867054,0.9989941797423008,2880.273142639195
256,Gene_1538,0.0799575,0.19509126,0.9362710583149948,0.9989941797423008,2611.359441187454
257,Gene_0178,0.07908125,0.13857996,0.9369679949333302,0.9989941797423008,2180.6156810889015
258,Gene_1647,0.07888957,0.1261806,0.9371204562749017,0.9989941797423008,1618.8856095660406
259,Gene_1640,0.07883481,0.15220729,0.9371640170819026,0.9989941797423008,2201.2500062506233
260,Gene_0430,0.07845145,0.112923995,0.9374689479896182,0.9989941797423008,3880.704295864274
261,Gene_0064,0.07842407,-0.0032813582,0.9374907291201967,0.9989941797423008,3029.520983524901
262,Gene_1536,0.078396685,0.12740763,0.9375125102975493,0.9989941797423008,4467.990285276488
263,Gene_0782,0.07816393,0.025069552,0.9376976521912629,0.9989941797423008,2244.731071176979
264,Gene_0311,0.077616274,-0.033025894,0.9381332934454432,0.9989941797423008,3055.0934146578325
265,Gene_0592,0.07585009,0.06531629,0.9395383619944886,0.9989941797423008,3174.972387805344
266,Gene_1846,0.07528875,-0.033935603,0.9399849737988387,0.9989941797423008,2978.9009534163115
267,Gene_1149,0.07512445,0.093713686,0.9401156930258807,0.9989941797423008,3528.037176773306
268,Gene_1840,0.071824834,-0.00731904,0.9427413076925151,0.9989941797423008,1225.295668455291
269,Gene_0722,0.070921205,0.010054482,0.9434604654455188,0.9989941797423008,2586.2006988516637
270,Gene_1339,0.070811674,-0.021517342,0.9435476392257799,0.9989941797423008,565.912773901321
271,Gene_1460,0.06910025,-0.0021738608,0.9449098167008029,0.9989941797423008,1953.3310718418222
272,Gene_0223,0.06710132,0.014519459,0.9465010436805813,0.9989941797423008,2463.951989675259
273,Gene_1105,0.06559527,0.05947889,0.9477000546565691,0.9989941797423008,3278.510084750089
274,Gene_1674,0.06471902,0.022051873,0.9483977157255273,0.9989941797423008,4755.1287103017075
275,Gene_0255,0.063692175,0.0069564884,0.9492153376020165,0.9989941797423008,3023.2227794143614
276,Fcgr1,0.06322667,0.18529806,0.9495860105204769,0.9989941797423008,3730.789885073971
277,Gene_0099,0.062596865,-0.026787858,0.9500875265252025,0.9989941797423008,2556.0169945012535
278,Gene_1408,0.062569484,-0.0608468,0.950109332018833,0.9989941797423008,3188.81495531284
279,Gene_0400,0.062377803,0.0026643642,0.9502619715194108,0.9989941797423008,401.11446986217845
280,Gene_1391,0.06207659,0.021624962,0.9505018372769369,0.9989941797423008,1309.2383251671426
281,Gene_0919,0.06192599,0.028698877,0.9506217718389561,0.9989941797423008,1841.1728113654365
282,Gene_1100,0.058229323,0.029193567,0.9535659641919639,0.9989941797423008,2388.842107282242
283,Gene_0450,0.05680542,-0.030537866,0.9547001947488376,0.9989941797423008,275.9612902367995
284,Gene_0318,0.055244606,-0.0243869,0.9559435912547706,0.9989941797423008,743.1192828889225
285,Gene_0659,0.052985534,-0.038630996,0.9577434331914917,0.9989941797423008,1420.2308235669636
286,Gene_0579,0.05293077,0.101670496,0.9577870684351123,0.9989941797423008,4859.086819960201
287,Gene_1385,0.05253372,0.103830725,0.9581034277260414,0.9989941797423008,1690.1676851601012
288,Gene_0241,0.051383648,-0.07060861,0.9590198158372982,0.9989941797423008,2436.1032376548087
289,Gene_1824,0.05087707,-0.018546075,0.9594234802337926,0.9989941797423008,1020.683678055045
290,Gene_0159,0.049822833,-0.06070308,0.9602635718078656,0.9989941797423008,3073.3613518250527
