,gene,scores,log2FoldChange,pvalue,padj,baseMean
52,S100a8,3.6560566,0.80278003,0.00025612477046275007,0.006829993879006669,4700.519760742736
53,Lyz2,3.3678946,0.45602864,0.0007574450369582473,0.018251687637548124,4479.3953846168615
54,Cxcr2,3.252025,1.0989125,0.00114586006862552,0.023872084763031667,3009.6048951148714
55,Postn,3.049776,0.84297824,0.002290119645894513,0.04053309107777899,4613.2774633644285
56,Col1a1,2.8980486,0.19181955,0.0037549238654145493,0.0570893022821487,488.0378851570015
57,Tgfbi,2.450629,1.4320483,0.01426068934810491,0.14119494404064267,1020.1151689747687
58,Col3a1,2.0254712,0.16164929,0.04281899004846461,0.26269319048137796,273.8750801071634
59,Myh11,1.5361423,0.58967304,0.12450346368844001,0.47505394754161434,1660.3851372781585
60,Acta2,1.5151398,0.4415737,0.1297369925389724,0.4851406673434266,1973.952583962936
61,Tagln,1.4563355,0.6043451,0.14529989991878556,0.5245483751580705,1393.1777072807847
62,Gene_0421,1.0856695,0.36052787,0.2776252401909205,0.7549725132850733,4152.25067030205
63,Pmel,1.0707048,0.20954643,0.284302161639435,0.7596160062043698,1815.928967133267
64,Gene_1501,0.9839701,0.26465872,0.32513019947334953,0.80577496771586,1440.6258229525347
65,Gene_0843,0.98050624,0.33561158,0.3268363016882444,0.8070032140450478,2736.34561163333
66,Gene_0260,0.9370636,0.34769544,0.3487258661938959,0.8123243042467928,747.574913625075
67,Gene_0017,0.9317376,0.5080956,0.3514721393336434,0.8145356647361377,4020.875054732496
68,Gene_0467,0.92463183,0.202524,0.355157461567974,0.8197969466734689,419.0256862148656
69,Gene_0882,0.8638422,0.19710952,0.38767458077012407,0.8473761328308722,4935.0903361725605
70,Cd3d,0.8521087,0.2662126,0.39415375629426486,0.8531466586455949,3872.6116080184543
71,Gene_0177,0.8478233,0.22961544,0.39653637378673023,0.8536851005420606,1033.6426235941535
72,Cd8a,0.84032047,0.4949837,0.40072873345471705,0.8544322674940662,77.33447976183187
73,Cd4,0.8326533,0.38085988,0.40504028878575804,0.8572281244143027,4086.534070851429
74,Gene_1611,0.830983,0.24754815,0.40598325777316613,0.8583155555458059,3548.9438520457047
75,Gene_1741,0.8286554,0.1763933,0.4072994149069582,0.8587455774436058,3658.585481802887
76,Gene_0409,0.8282173,0.32318184,0.4075474463639488,0.8587455774436058,3867.7882160954314
77,Gene_0847,0.8188524,0.47911164,0.4128706202216792,0.8619428397112301,416.5210260837473
78,Gene_1766,0.8099393,0.34484535,0.41797503601758546,0.866269504699659,1824.4053562941494
79,Gene_0087,0.7938383,0.19787416,0.4272895630673281,0.8720195164639349,623.5518446493921
80,Gene_1747,0.7830358,0.18151438,0.4336060663366844,0.8756328625053417,4322.361958084188
81,Gene_0143,0.7822828,0.311023,0.43404838405809465,0.8756328625053417,3135.3257277964117
82,Gene_1189,0.77436924,0.1821048,0.43871248436132537,0.8765484203023485,1687.9452230206134
83,Gene_1342,0.76566154,0.19395044,0.44387773307105505,0.8785317076244612,364.613833915817
84,Gene_1651,0.7591855,0.18791232,0.4477415968458488,0.8805466568648572,1589.362492492528
85,Gene_1074,0.75469476,0.29475152,0.45043216365910377,0.8814297851884414,1659.657444032398
86,Gene_0012,0.7539965,0.17526495,0.45085133512388775,0.8814297851884414,3661.5505827734173
87,Gene_1595,0.7309266,0.25050825,0.4648240172504532,0.8942462093264751,3205.909483208305
88,Gene_0679,0.72427255,0.23408104,0.46889842340845433,0.8982728417786481,4441.703075752816
89,Gene_0365,0.72032946,0.19917767,0.47132217991079006,0.9011896365407075,2387.463879551649
90,Gene_0254,0.70959544,0.20871955,0.4779550581873879,0.9077968816474605,641.9915173945934
91,Gene_0991,0.7035986,0.19608058,0.48168277635115775,0.9114149032188416,3580.5616967538253
92,Gene_0581,0.7012985,0.46381286,0.48311677198911596,0.9132642192610887,3815.8859906536422
93,Gene_1370,0.6828014,0.18674119,0.4947323153486748,0.9238698699321658,2828.3221279690065
94,Gene_0328,0.68087095,0.256701,0.4959531408956994,0.9252857106263048,3866.287540775077
95,Gene_0624,0.6721222,0.17087595,0.5015059098874283,0.926506451991363,2494.288202003734
96,Gene_1168,0.6697262,0.27394736,0.503032343449362,0.926506451991363,2637.5275054408708
97,Gene_1497,0.6632228,0.36062956,0.5071878631374012,0.9314744961201123,2166.3280408748205
98,Gene_1151,0.66078573,0.17861229,0.508749721520043,0.9319040155841223,175.8246773832712
99,Tyr,0.6540085,0.14603779,0.5131063086453933,0.9326751740485174,584.062563616857
100,Gene_0645,0.64976424,0.20384228,0.5158445387136631,0.933655273689888,205.57446914933453
101,Gene_0575,0.64534193,0.23424178,0.5187056415978738,0.9362917718373173,3200.231535755713
102,Gene_0730,0.6347722,0.16097517,0.525577008814621,0.9412216314192817,1606.062106327817
103,Gene_0603,0.6257633,0.22444457,0.531470225622775,0.9439419595247979,2567.4249212652785
104,Lck,0.62071115,0.2510446,0.5347896835208742,0.9439419595247979,4542.454045934161
105,Gene_0390,0.6206427,0.29264015,0.5348347343356372,0.9439419595247979,1283.996534286931
106,Gene_1743,0.61784965,0.22661932,0.5366744383180058,0.9439419595247979,2081.395469026367
107,Gene_1051,0.6162752,0.37197125,0.5377129274069942,0.9439419595247979,3789.978135788091
108,Gene_1270,0.6162204,0.4497313,0.5377490669190117,0.9439419595247979,1182.5509191835313
109,Gene_1563,0.61149687,0.15847068,0.5408706817096982,0.9439419595247979,431.0505536525253
110,Gene_1122,0.6094295,0.15093733,0.5422397971695276,0.9439419595247979,1484.2696919231516
111,Gene_1029,0.60488397,0.17453977,0.5452561022185574,0.9441664107680646,848.0453719073219
112,Gene_1401,0.5977371,0.14366297,0.550015384461393,0.9471577733266346,4652.003379095737
113,Gene_0370,0.5870578,0.16356651,0.5571648762481962,0.9525791721224703,4050.1958788438637
114,Gene_0387,0.582348,0.17656249,0.560332304913383,0.9527319111340228,3185.3485947265963
115,Gene_0904,0.5818277,0.13824041,0.5606827297023724,0.9527319111340228,4363.7299214292025
116,Gene_1790,0.57654285,0.508451,0.5642483092359396,0.9563530665015926,4028.1767806506164
117,Gene_1786,0.5726545,0.15002744,0.5668786405083353,0.959609158799976,973.5217914858774
118,Gene_0668,0.5700942,0.20842502,0.5686137871027397,0.9606374338153558,4468.16704252539
119,Gene_0340,0.569971,0.15931454,0.5686973608186906,0.9606374338153558,2719.7440974824713
120,Gene_1199,0.5689168,0.15867917,0.5694126202391916,0.961033958209606,4046.8287680621097
121,Gene_1781,0.56148237,0.16521609,0.5744687447378505,0.9658364689391967,4485.651934621292
122,Gene_1649,0.55914116,0.14559668,0.5760653929619628,0.9658364689391967,1624.1172011107262
123,Gene_1344,0.559059,0.62394416,0.5761214537222309,0.9658364689391967,594.757026412
124,Gene_1689,0.5424103,0.16020064,0.5875358739757959,0.97274151320496,1178.2790545826113
125,Gene_0109,0.5357152,0.15774164,0.592155365457635,0.9758093256654959,2164.183553699969
126,Gene_0919,0.5213393,0.14171539,0.602130410701291,0.9857332171219596,4099.173091316341
127,Gene_0088,0.4921083,0.14734964,0.6226427939349586,0.9962284702959338,4310.6163871189
128,Gene_1755,0.47870445,0.3300433,0.6321488973300805,0.999497490564906,84.41304612939399
129,Gene_1572,0.4703938,0.15952225,0.6380736914027729,0.999497490564906,2578.1991477589504
130,Gene_0754,0.46107,0.20211023,0.6447483908494724,0.999497490564906,2116.184465586456
131,Gene_0513,0.45783883,0.16673522,0.6470682351937902,0.999497490564906,1149.4336618301147
132,Gene_0065,0.45579883,0.72677654,0.6485346525531085,0.999497490564906,643.3335683017299
133,Gene_1439,0.4547035,0.13177435,0.6493225538849262,0.999497490564906,1721.1950984479583
134,Gene_1679,0.45340285,0.14686306,0.6502586964513767,0.999497490564906,4717.40303436697
135,Gene_0815,0.4480632,0.15417463,0.654107581357714,0.999497490564906,1649.8545135027384
136,Gene_1788,0.44533864,0.122904874,0.6560750574097592,0.999497490564906,2618.013577629662
137,Gene_1835,0.44191578,0.121155165,0.6585501449934357,0.999497490564906,3529.9438465311305
138,Gene_1783,0.43973887,0.36507073,0.6601262513654482,0.999497490564906,1849.9665317775052
139,Gene_0586,0.43596005,0.34442413,0.6628657149194593,0.999497490564906,4860.321309468755
140,Gene_0006,0.43329024,0.14971796,0.6648039302495303,0.999497490564906,4814.114109963451
141,Gene_1139,0.4314419,0.1533484,0.6661470865066179,0.999497490564906,1296.3223643355525
142,Gene_0805,0.43116808,0.13535222,0.6663461638400243,0.999497490564906,2511.3801041673078
143,Gene_0766,0.42904592,0.14016357,0.6678898092310932,0.999497490564906,1539.3476335930097
144,Gene_0830,0.42617074,0.16142893,0.6699834417739101,0.999497490564906,1459.9604471684647
145,Gene_1105,0.41512182,0.12059858,0.6780527329595492,0.999497490564906,232.59038940493733
146,Gene_1553,0.413739,0.1274469,0.679065272913624,0.999497490564906,3067.3434532004894
147,Gene_0490,0.4083309,1.3812237,0.6830307560451722,0.999497490564906,2538.2611649828646
148,Gene_1297,0.4070439,0.11696485,0.6839757356068858,0.999497490564906,304.8198186874473
149,Gene_1253,0.40504497,0.23400758,0.6854444511575768,0.999497490564906,1429.2999979712265
150,Gene_1773,0.40393597,0.116809964,0.6862597998985813,0.999497490564906,4545.916135534936
151,Gene_0164,0.40319663,0.31015685,0.6868035687384852,0.999497490564906,1235.8313588015135
152,Gene_1807,0.40288174,0.18410207,0.6870352232304022,0.999497490564906,767.2296168515543
153,Gene_1673,0.39887017,0.117934555,0.6899888655271051,0.999497490564906,2472.791163373937
154,Gene_0708,0.39400974,0.17616785,0.693573843913863,0.999497490564906,4928.969747847474
155,Gene_0380,0.39087442,0.118797846,0.6958900581737106,0.999497490564906,1248.173593981927
156,Gene_1507,0.38452163,0.13665926,0.7005918611539994,0.999497490564906,3377.0709596590987
157,Gene_1302,0.3825227,0.10823482,0.7020736938933461,0.999497490564906,3820.017095877152
158,Gene_0350,0.3763205,0.13649517,0.7066786271742569,0.999497490564906,1226.3058427623785
159,Gene_1617,0.376033,0.25575513,0.7068923630534585,0.999497490564906,3654.670925628705
160,Gene_1080,0.3752115,0.11418475,0.7075031642809089,0.999497490564906,1870.5265069603035
161,Gene_1799,0.3621089,0.31671095,0.7172706573970404,0.999497490564906,3179.913861438218
162,Gene_1623,0.3620815,0.1660823,0.7172911192802187,0.999497490564906,3185.972068266429
163,Gene_0474,0.35596147,0.1697253,0.7218694150453658,0.999497490564906,2702.0846861700543
164,Gene_0204,0.35301784,0.121021,0.7240750690394329,0.999497490564906,496.9343617693211
165,Gene_1692,0.3435982,0.1146952,0.7311484894911435,0.999497490564906,4184.747353166728
166,Gene_1816,0.34273562,0.10539128,0.731797355359749,0.999497490564906,1637.8613216100923
167,Gene_1754,0.33984676,0.12098936,0.7339719359065215,0.999497490564906,973.2666264792784
168,Gene_0938,0.33877882,0.069022715,0.7347763508902023,0.999497490564906,251.83695069608137
169,Gene_0755,0.33808059,0.10493757,0.7353024719666135,0.999497490564906,2974.920068781797
170,Gene_0908,0.33751923,0.11409971,0.7357255221273549,0.999497490564906,3403.943591119298
171,Gene_1808,0.33664298,0.13642766,0.7363860532919211,0.999497490564906,132.10975319288795
172,Gene_0447,0.3361638,0.10925413,0.7367473637277172,0.999497490564906,2584.860638581441
173,Gene_1405,0.33386365,0.12431584,0.7384824627728995,0.999497490564906,1171.1540872297928
174,Gene_0472,0.3335898,0.11456987,0.7386891111307825,0.999497490564906,3243.6053125267767
175,Gene_1656,0.3329737,0.089295134,0.7391541389353289,0.999497490564906,913.1138235747077
176,Gene_0601,0.33269987,0.08894668,0.7393608485942191,0.999497490564906,3470.1418036072064
177,Gene_0116,0.3223629,0.10889814,0.7471777886274595,0.999497490564906,1964.3399641876601
178,Gene_0592,0.32232183,0.55767226,0.7472089018557462,0.999497490564906,4686.813444246836
179,Gene_0325,0.31928235,0.21426441,0.7495124206282253,0.999497490564906,730.7286735226666
180,Gene_1680,0.31821442,0.10258957,0.7503222969968208,0.999497490564906,1738.2784376987797
181,Gene_0672,0.31669468,0.11632112,0.7514752877558839,0.999497490564906,611.6939301409159
182,Gene_0130,0.3125325,0.09324133,0.754635862846067,0.999497490564906,4627.233410478886
183,Gene_0570,0.31182057,0.308134,0.7551769009408607,0.999497490564906,4392.829799235856
184,Gene_0875,0.31121814,0.10160502,0.755634796240417,0.999497490564906,1326.8110571900202
185,Gene_1111,0.30995852,0.18537438,0.7565924909441288,0.999497490564906,3316.921027869186
186,Gene_1879,0.30713812,0.089431345,0.7587382484547794,0.999497490564906,4095.249890996018
187,Gene_0763,0.30442724,0.25706497,0.7608024284263096,0.999497490564906,2798.2440174173385
188,Gene_0753,0.30234614,0.08723636,0.7623882084646812,0.999497490564906,2671.770362862232
189,Gene_1587,0.30022398,0.087332815,0.7640063145937827,0.999497490564906,1247.1688399572358
190,Gene_1007,0.29993647,0.14877851,0.7642256213472914,0.999497490564906,510.8587006392011
191,Gene_0798,0.29665053,0.10887686,0.766733323393143,0.999497490564906,4491.218001868968
192,Gene_1603,0.28985962,0.10088159,0.7719236296560422,0.999497490564906,4507.069382958486
193,Gene_0951,0.28979117,0.35221466,0.7719760037258191,0.999497490564906,3183.8522135026765
194,Gene_1125,0.2873678,0.09915576,0.7738307135510658,0.999497490564906,1728.1974656910684
195,Gene_0013,0.28267166,0.098427996,0.777428537792713,0.999497490564906,1778.5873943326715
196,Gene_0025,0.28265798,0.11157771,0.7774390340987081,0.999497490564906,3643.4806104076847
197,Gene_0884,0.27842733,0.08348721,0.7806843292580725,0.999497490564906,4490.695786765256
198,Gene_1493,0.27826306,0.110163294,0.7808104376397886,0.999497490564906,4441.077800112331
199,Gene_1391,0.27811244,0.09234767,0.7809260420546037,0.999497490564906,3910.383951995238
200,Dct,0.2769487,0.1323305,0.7818195119876551,0.999497490564906,3228.0566484637243
201,Gene_0914,0.27649686,0.1326315,0.7821664662257577,0.999497490564906,466.49282672549174
202,Gene_0945,0.27607244,0.10347079,0.7824924324206164,0.999497490564906,850.0621347683382
203,Gene_1078,0.27180073,0.14794672,0.78577524210042,0.999497490564906,4497.843233209042
204,Gene_0555,0.26481813,0.10923892,0.7911495600348781,0.999497490564906,3051.82384531497
205,Gene_1149,0.26316148,0.37654686,0.7924261123428736,0.999497490564906,95.52540550231676
206,Gene_0566,0.26277813,0.15555598,0.7927215923065425,0.999497490564906,552.284137186859
207,Gene_1118,0.2618471,0.10602302,0.7934393103541881,0.999497490564906,3334.333757084876
208,Gene_1010,0.2618471,0.11522804,0.7934393103541881,0.999497490564906,75.0548400387825
209,Gene_0393,0.2574659,0.07763878,0.7968191467575865,0.999497490564906,845.9998545166184
210,Gene_0391,0.25612414,0.08241644,0.7978549874671468,0.999497490564906,2766.232257364601
211,Gene_1386,0.25591877,0.11307769,0.7980135659759108,0.999497490564906,3474.8812285788317
212,Gene_0471,0.25151014,0.09247384,0.8014197175457382,0.999497490564906,3277.2082345378726
213,Gene_0133,0.2495249,0.09513297,0.8029547812481621,0.999497490564906,1160.1330818297708
214,Gene_1499,0.24551333,0.8369379,0.8060589840296477,0.999497490564906,3575.2871456703024
215,Gene_0322,0.24428111,0.74529094,0.8070131096795606,0.999497490564906,1224.3829831091603
216,Gene_0993,0.24363762,0.08264029,0.8075114895532686,0.999497490564906,1660.7285058883751
217,Gene_1824,0.24295305,0.105178684,0.8080417666863241,0.999497490564906,3745.1324553342197
218,Gene_0925,0.24285722,0.099947184,0.8081160125288097,0.999497490564906,3265.6828502837125
219,Gene_1177,0.24140593,0.53275514,0.8092405175630949,0.999497490564906,4253.655881946181
220,Gene_0782,0.2412827,0.0877813,0.8093360125852798,0.999497490564906,3305.1838168867
221,Gene_0915,0.24080351,0.10396408,0.8097074090938124,0.999497490564906,2863.1275865105845
222,Gene_0523,0.2363949,0.34820035,0.8131262575951806,0.999497490564906,513.6901007490578
223,Gene_0948,0.23008318,0.08516163,0.81802713404166,0.999497490564906,1870.1932251441958
224,Gene_0191,0.22826223,0.2225522,0.8194423848136982,0.999497490564906,1362.7517200245409
225,Gene_1377,0.22604424,0.059166253,0.8211670184656701,0.999497490564906,1257.7487347264637
226,Gene_1018,0.21934916,0.11064813,0.8263780697211878,0.999497490564906,4866.402246024606
227,Gene_0102,0.21845922,0.0675459,0.8270713267349351,0.999497490564906,1995.833737100464
228,Gene_0311,0.21774727,0.060278773,0.8276260294218205,0.999497490564906,4465.630448126711
229,Gene_1304,0.21478994,0.07974863,0.8299310965803232,0.999497490564906,3174.1361986864513
230,Gene_0935,0.21418752,0.11470182,0.8304008274896877,0.999497490564906,3984.31595253116
231,Gene_0872,0.21144925,0.12947619,0.832536729495112,0.999497490564906,2538.053610870701
232,Cnn1,0.20617808,0.25917226,0.8366518102584033,0.999497490564906,2905.6742289004774
233,Gene_1578,0.2061233,0.07935683,0.836694588020563,0.999497490564906,2487.9625844033762
234,Gene_1577,0.20501432,0.06845634,0.8375609414328411,0.999497490564906,1016.4527896003202
235,Gene_0211,0.20391901,0.22049999,0.8384167924921866,0.999497490564906,3626.1379705444515
236,Gene_0929,0.19651198,0.07513722,0.8442094534773835,0.999497490564906,1439.8231940822361
237,Gene_1443,0.19466366,0.05209883,0.8456562692908203,0.999497490564906,170.3640338356965
238,Gene_1182,0.19366418,0.07233139,0.8464388387415449,0.999497490564906,3245.0878647404807
239,Gene_1485,0.19178846,0.07419209,0.8479079048127265,0.999497490564906,926.6978630648923
240,Gene_0405,0.1906384,0.8453689,0.8488089077732089,0.999497490564906,4705.269992546926
241,Gene_1815,0.1900086,0.047984853,0.8493023979484152,0.999497490564906,4771.946456162807
242,Gene_1112,0.18972108,0.070732825,0.849527706587784,0.999497490564906,4578.57873159122
243,Gene_1472,0.18947463,0.5065288,0.8497208380616175,0.999497490564906,1882.2855662644497
244,Gene_1449,0.18898174,0.08343502,0.8501071280534003,0.999497490564906,126.51025181789377
245,Gene_1390,0.18768106,0.4155098,0.8511266769507818,0.999497490564906,4645.176884809241
246,Gene_1520,0.18681851,0.3678444,0.851802936223019,0.999497490564906,2169.511534170706
247,Gene_1531,0.18577796,0.07288198,0.8526188860497353,0.999497490564906,4834.941354266164
248,Gene_0685,0.17982222,0.066912524,0.857292134698358,0.999497490564906,4819.918886591801
249,Gene_0794,0.17743993,0.07811139,0.8591628452746805,0.999497490564906,4272.396804563432
250,Gene_1360,0.17730302,0.17070968,0.8592703815094241,0.999497490564906,1507.5220157444492
251,Gene_0840,0.17705657,0.08006633,0.8594639533090938,0.999497490564906,1956.23375657953
252,Gene_1495,0.17123775,0.060392767,0.8640368277652101,0.999497490564906,4263.126524008441
253,Gene_0652,0.16781491,0.032862622,0.8667288930488126,0.999497490564906,1618.7639255235745
254,Gene_0705,0.1676643,0.018741721,0.8668473796720032,0.999497490564906,888.9890960961578
255,Gene_0253,0.16613087,0.034365404,0.8680539587897997,0.999497490564906,2806.1662491688335
256,Gene_1751,0.16452898,0.10657971,0.8693147313106236,0.999497490564906,4683.966132095866
257,Gene_0468,0.16225623,0.053127054,0.8711040891639723,0.999497490564906,3495.3474935411164
258,Gene_0024,0.16221514,0.50685346,0.8711364330550875,0.999497490564906,2871.8027919423566
259,Gene_1772,0.16168119,0.04419979,0.8715569232309909,0.999497490564906,531.0236441653042
260,Gene_1158,0.16016144,0.09721204,0.8727539012700647,0.999497490564906,3094.2857721608902
261,Gene_0967,0.16005191,0.31020868,0.8728401812468768,0.999497490564906,4950.766558016103
262,Gene_0548,0.15573914,0.037137248,0.8762386473768068,0.999497490564906,743.4158754207939
263,Gene_0372,0.1553147,0.067395,0.8765732240168024,0.999497490564906,2615.731779200497
264,Gene_0855,0.1545206,0.091562524,0.8771992653088589,0.999497490564906,4392.996706043379
265,Gene_1470,0.15193294,0.07258815,0.8792398274460473,0.999497490564906,3716.804657883312
266,Gene_0635,0.15112515,0.074192986,0.8798769932925465,0.999497490564906,3500.2279179265765
267,Gene_0225,0.15097454,0.040586893,0.8799957955405445,0.999497490564906,3527.296215736191
268,Gene_0770,0.14938635,0.016856695,0.8812487831808155,0.999497490564906,1829.481198537788
269,Gene_1758,0.14657962,0.04112156,0.8834638398398867,0.999497490564906,1503.2796291092423
270,Gene_0120,0.14419733,0.04057335,0.8853446525392421,0.999497490564906,4056.3377196186425
271,Gene_1628,0.14396457,0.06685486,0.8855284449222911,0.999497490564906,4060.0613036619447
272,Gene_0241,0.1437729,0.027693924,0.8856798079801379,0.999497490564906,4342.007976971513
273,Gene_1148,0.14351276,0.06125078,0.8858852359439346,0.999497490564906,4570.540735154533
274,Gene_1307,0.14332108,0.031195754,0.8860366088255522,0.999497490564906,2581.144874361642
275,Gene_0626,0.14144537,0.03601009,0.8875181192108629,0.999497490564906,2532.505658701638
276,Gene_0656,0.14121261,0.07161689,0.8877019837867798,0.999497490564906,4001.561135885537
277,Gene_1188,0.14096616,0.02722044,0.8878966705127623,0.999497490564906,3267.3214573499376
278,Gene_0016,0.1375981,0.057529505,0.8905580620577934,0.999497490564906,3524.7360424256317
279,Gene_0883,0.13513365,0.48484707,0.8925062050042998,0.999497490564906,3989.1737137087002
280,Gene_0772,0.13496935,0.42694774,0.8926361044011175,0.999497490564906,4455.5264419969535
281,Gene_1640,0.13372344,0.30845982,0.89362126832884,0.999497490564906,1723.0760264151022
282,Gene_1886,0.13213524,0.041800186,0.8948773194760251,0.999497490564906,1909.1356155677229
283,Gene_1533,0.13208048,0.060110394,0.8949206363042949,0.999497490564906,515.2106022123015
284,Gene_1314,0.13128638,0.18547225,0.8955487654602057,0.999497490564906,2912.4866979310614
285,Gene_1415,0.13043752,0.053153057,0.8962202862773548,0.999497490564906,227.91425529387334
286,Gene_0820,0.12481037,0.115034364,0.9006736770964868,0.999497490564906,2354.7101897556777
287,Gene_1205,0.123359084,0.061915185,0.9018227532841147,0.999497490564906,2736.0909418025044
288,Gene_1569,0.12257868,0.07110552,0.9024407379566066,0.999497490564906,1468.379198035008
289,Gene_1798,0.12070297,0.08967665,0.9039263106399543,0.999497490564906,2974.624639816603
290,Gene_1811,0.119867794,0.07062674,0.9045878785474196,0.999497490564906,200.97623719829468
291,Gene_0659,0.11918323,0.06295726,0.9051301967388719,0.999497490564906,234.87353430861137
292,Gene_0448,0.11493891,0.061399557,0.9084935474664395,0.999497490564906,4121.8727752653085
293,Gene_1672,0.11215956,0.036226742,0.9106968926728516,0.999497490564906,1832.9436749857514
294,Gene_1279,0.107750945,0.30922177,0.9141932563302678,0.999497490564906,678.9495376268296
295,Gene_1135,0.10747712,0.25944245,0.9144104772646188,0.999497490564906,2635.1041372712816
