,gene,scores,log2FoldChange,pvalue,padj,baseMean
24,Wnt5a,9.132447,0.59129095,6.696810705930854e-20,5.357448564744683e-18,3381.806048010524
25,Tgfb3,8.977612,0.54274315,2.7670794228232457e-19,2.1285226329409583e-17,4130.53471388428
26,Col3a1,8.881375,0.6155453,6.603887102541109e-19,4.891768224104525e-17,2015.1112029269968
27,Cdh1,8.777732,0.48939118,1.6680485474733316e-18,1.1914632481952368e-16,823.7690050088612
28,Tgfb2,8.464898,0.47697935,2.5637735543614225e-17,1.76811969266305e-15,3702.857189618081
29,Twist1,8.377451,0.5051419,5.408620048022844e-17,3.605746698681896e-15,1834.3488004506917
30,Snai1,7.4717817,0.44238406,7.9116080847508e-14,5.104263280484387e-12,3372.790584884206
31,Zeb1,7.3038573,0.39363024,2.796326811002715e-13,1.7477042568766968e-11,1389.6875128097402
32,Cdh2,7.2229824,0.4151634,5.08595208233634e-13,3.0823952014159636e-11,452.0866922930297
33,Vim,6.818814,0.26702031,9.179523333619625e-12,5.399719608011544e-10,4963.279887664428
34,Pdgfa,6.5154,0.36643556,7.249629752672564e-11,4.142645572955751e-09,823.1974642564664
35,Fgf2,6.3334417,0.26899552,2.3975186777404465e-10,1.3319548209669149e-08,4942.6839201192315
36,Zeb2,5.998647,0.270873,1.98968242283318e-09,1.0755040123422596e-07,4887.535666203914
37,Cxcr4,4.332122,0.26771358,1.4767909485984533e-05,0.0007573286915889504,3979.399614344796
38,RhoA,3.9314444,0.27269465,8.443698201901461e-05,0.004118877171659249,3314.143662305888
39,Rac1,3.7982414,0.20702496,0.00014572638873951982,0.006939351844739038,2910.1448987428694
40,Cdc42,3.4043138,0.24723648,0.0006633051589989987,0.02948022928884439,4337.202649620282
41,Vegfa,2.9628634,0.08017553,0.0030479172307759017,0.1015972410258634,1482.7256320164654
42,Postn,1.9411874,0.56273925,0.052235555970171745,0.5289135290077862,2365.0220018001414
43,Cxcl12,1.7587775,0.10209558,0.07861531349756083,0.6539358867066892,3115.9803483641845
44,Cd68,1.4641943,0.25961983,0.14314086069326643,0.8089167387441963,2085.392855553981
45,Gene_0227,1.4483534,0.24681057,0.14751823228096791,0.8264326738429575,2166.0579477468264
46,Gene_0267,1.3905212,0.2517346,0.16437067980080955,0.8419254562260707,1684.9091041353179
47,Gene_1074,1.3613722,0.5214547,0.17339607611988683,0.8511093949173388,2842.9474925884533
48,Gene_0603,1.3111387,0.44383273,0.18981091043190523,0.8629893827479042,4260.343913674824
49,Gene_1302,1.2916696,0.4014832,0.19647159323772334,0.8716981378568293,1047.5654711312486
50,Gene_1611,1.2819624,0.3643261,0.19985582928480206,0.8716981378568293,4675.443541829535
51,Gene_1766,1.2497467,0.52103746,0.21139210382861906,0.8976310141342636,3460.983886053737
52,Tgfbi,1.1882588,0.87183934,0.23473146299736514,0.9464978346667949,4125.20240276615
53,Tagln,1.1643947,0.41838598,0.24426406392012012,0.9597802118668767,2803.1439285185575
54,Gene_0496,1.1449257,0.28400514,0.2522399485173432,0.9738994151248772,3908.607672049114
55,Itgb1,1.0920633,0.100892596,0.274805253033397,0.9996176558539591,130.19196683036267
56,Gene_0796,1.0585469,0.2949059,0.2898061678548529,0.9996176558539591,4100.9831026587
57,Gene_0497,1.0486344,0.2402364,0.2943464221004096,0.9996176558539591,248.68735247256427
58,Gene_0847,1.041419,0.613667,0.29768110680922655,0.9996176558539591,4455.071212996169
59,Gene_0446,1.0040827,0.223471,0.3153387401197466,0.9996176558539591,4960.215598831284
60,Gene_1786,0.9987157,0.21578678,0.31793242461168547,0.9996176558539591,1505.6339377750503
61,Gene_0260,0.98583215,0.37013137,0.3242154842030285,0.9996176558539591,1091.0768536146786
62,Gene_1122,0.98392904,0.23265092,0.3251503959259089,0.9996176558539591,3838.5486510973014
63,Gene_0758,0.96666425,0.19233242,0.3337118988535833,0.9996176558539591,1302.4803875552534
64,Gene_1655,0.9646653,0.26478255,0.3347124691880523,0.9996176558539591,4334.533796702407
65,Gene_0000,0.9570666,0.17187738,0.33853362913231577,0.9996176558539591,559.0708311795097
66,Gene_1623,0.9538902,0.4885905,0.3401392100455397,0.9996176558539591,673.4782220778234
67,Gene_0924,0.9241663,0.23178709,0.3553997373814679,0.9996176558539591,4896.800197748047
68,Gene_1401,0.9240841,0.19854611,0.3554425027588778,0.9996176558539591,3385.502546436523
69,Gene_1584,0.91313106,0.22029842,0.3611736101863444,0.9996176558539591,4242.0917609233165
70,Csf1r,0.9014797,0.24126256,0.36733330596327773,0.9996176558539591,1655.4304178900143
71,Tyr,0.90143865,0.15543036,0.36735513565470534,0.9996176558539591,3398.594560126992
72,Gene_1157,0.8834071,0.17115296,0.37701633149101166,0.9996176558539591,2991.497045177556
73,Gene_1154,0.87011284,0.18661185,0.3842387403077625,0.9996176558539591,3035.5930946085878
74,Gene_0143,0.85364217,0.3789715,0.3933032994393314,0.9996176558539591,3428.5356747117216
75,Gene_0752,0.8256844,0.17459156,0.40898314228018584,0.9996176558539591,2898.027906989038
76,Gene_0352,0.8081868,0.18768597,0.41898302423041756,0.9996176558539591,2173.8587280481966
77,Gene_0644,0.78788257,0.19908175,0.43076539258489155,0.9996176558539591,1415.817337183707
78,Gene_0342,0.7723429,0.1865623,0.43991136727661406,0.9996176558539591,3854.47758802035
79,Gene_1386,0.7712202,0.3901858,0.4405764217373732,0.9996176558539591,1170.0485285157717
80,Gene_0017,0.75863785,0.4472124,0.448069224927781,0.9996176558539591,3477.1538154643504
81,Gene_0241,0.75339407,0.39117244,0.4512131506308179,0.9996176558539591,1204.9974721141668
82,Gene_0312,0.75273687,0.21140566,0.4516080457817182,0.9996176558539591,3145.384341274547
83,Gene_0606,0.74791753,0.16211872,0.45450990925435264,0.9996176558539591,3748.037422288693
84,Gene_1724,0.7294205,0.17730232,0.465744480170708,0.9996176558539591,1132.633750087369
85,Gene_0365,0.7247791,0.2049127,0.4685875386959848,0.9996176558539591,346.719339263476
86,Gene_1037,0.6950141,0.16501933,0.48704644439274225,0.9996176558539591,698.3200278211617
87,Gene_0857,0.68820953,0.17463458,0.4913208427747311,0.9996176558539591,3049.6849879915762
88,Gene_0551,0.68796307,0.18088838,0.4914760270770837,0.9996176558539591,4254.75971081739
89,Gene_1843,0.68718266,0.1800407,0.49196761760286634,0.9996176558539591,272.7342651153506
90,Gene_1612,0.68199366,0.25077048,0.4952429617136912,0.9996176558539591,3684.048732256149
91,Gene_0898,0.67169774,0.14431387,0.5017761278165369,0.9996176558539591,1739.527297452758
92,Gene_0039,0.6707804,0.41967922,0.5023604103882406,0.9996176558539591,2418.7154311016366
93,Gene_0973,0.67054766,0.23519728,0.5025087184021243,0.9996176558539591,4647.85477173555
94,Gene_0605,0.67002743,0.15684657,0.5028403141297406,0.9996176558539591,1693.258948442435
95,Gene_0800,0.66586524,0.13637522,0.5054972378542468,0.9996176558539591,2353.417823000456
96,Gene_1617,0.6657968,0.51478004,0.5055409989644297,0.9996176558539591,117.72795306537147
97,Gene_0383,0.6657694,0.2031406,0.5055585039669979,0.9996176558539591,453.91366402394993
98,Gene_1587,0.66315436,0.21005216,0.5072317011561538,0.9996176558539591,1330.0283761171809
99,Gene_0328,0.6581159,0.2788544,0.5104636352546064,0.9996176558539591,187.8685920643183
100,Gene_1815,0.65269417,0.26402846,0.5139534666677634,0.9996176558539591,3175.3078639388423
101,Gene_0421,0.6461497,0.2332033,0.518182413923053,0.9996176558539591,2160.6718661680316
102,Gene_1207,0.641522,0.23371154,0.521183579906302,0.9996176558539591,2763.318753503709
103,Gene_0805,0.63351256,0.1623415,0.5263989701399194,0.9996176558539591,914.5035701868312
104,Gene_0374,0.63337564,0.14840354,0.5264883533136595,0.9996176558539591,1514.8635457112498
105,Gene_1830,0.6282962,0.36557615,0.5298099388643135,0.9996176558539591,3335.9311505209894
106,Gene_1056,0.6237917,0.16678227,0.5327643800744246,0.9996176558539591,4828.248481970479
107,Gene_0109,0.61674064,0.19460995,0.5374057908073493,0.9996176558539591,299.56302933093554
108,Gene_0724,0.61203086,0.1937329,0.5405173500322638,0.9996176558539591,4457.402388233567
109,Gene_1078,0.60999084,0.37437445,0.5418678797258486,0.9996176558539591,2905.5619464904817
110,Gene_0575,0.6047881,0.22535594,0.5453197885471206,0.9996176558539591,2841.4018554403374
111,Gene_0777,0.58609945,0.16331698,0.5578087038966073,0.9996176558539591,2526.3787492784136
112,Gene_0455,0.57874715,0.5311953,0.5627597850404462,0.9996176558539591,393.50072522570775
113,Gene_1769,0.5785418,0.1478962,0.5628983873246992,0.9996176558539591,494.8904160939953
114,Gene_0164,0.5773643,0.47974476,0.5636933581918109,0.9996176558539591,3024.514428012476
115,Gene_1018,0.5682322,0.13625795,0.5698773042377201,0.9996176558539591,1737.7449286060137
116,Gene_1574,0.55848396,0.16510868,0.5765139511207354,0.9996176558539591,4590.47692955952
117,Gene_0283,0.557594,0.14626208,0.5771216360701333,0.9996176558539591,2062.623159929388
118,Gene_1649,0.55593735,0.15545692,0.5782536680735336,0.9996176558539591,759.2432205780734
119,Gene_0088,0.5506525,0.18132733,0.5818719044637417,0.9996176558539591,3587.8582258350784
120,Myh11,0.54549086,0.26670796,0.5854159572533209,0.9996176558539591,1502.0994361329988
121,Gene_0997,0.5432455,0.12779468,0.586960790121858,0.9996176558539591,2651.078021411671
122,Gene_0882,0.54216385,0.15350232,0.5877056206536113,0.9996176558539591,3504.272288250592
123,Gene_1846,0.54204065,0.22166821,0.5877905024986922,0.9996176558539591,4506.307350450248
124,Gene_1874,0.5384809,0.16921854,0.5902450887440525,0.9996176558539591,3971.3464142682965
125,Gene_1172,0.5365641,0.17370033,0.5915687411625554,0.9996176558539591,3397.9872859699844
126,Gene_0850,0.53503066,0.13551614,0.5926286439401084,0.9996176558539591,3414.184252855961
127,Gene_1758,0.5327716,0.19617563,0.5941916921793916,0.9996176558539591,4732.326987958829
128,Gene_1005,0.5312108,0.20163476,0.5952727163145959,0.9996176558539591,1514.3292826078534
129,Gene_0467,0.52170897,0.13229112,0.601872963096316,0.9996176558539591,55.50486627112767
130,Gene_1814,0.5150413,0.11674882,0.6065241581082503,0.9996176558539591,1396.1750690210836
131,Gene_0798,0.5118786,0.13570005,0.6087359757708581,0.9996176558539591,1128.5623291523827
132,Gene_1344,0.5095374,0.5779171,0.6103756045612265,0.9996176558539591,3326.081196314291
133,Gene_1183,0.5035543,0.1272521,0.6145746430158037,0.9996176558539591,3186.872418839369
134,Gene_0129,0.5025137,0.19280043,0.6153062070803552,0.9996176558539591,2987.633844388383
135,Gene_1510,0.5025137,0.25906676,0.6153062070803552,0.9996176558539591,130.40504388679582
136,Gene_0679,0.5009666,0.18645418,0.6163946345429896,0.9996176558539591,3657.451369530705
137,Gene_1204,0.49703717,0.2738737,0.6191628367851697,0.9996176558539591,1651.475541803183
138,Gene_0396,0.4958871,0.13553604,0.6199740675165628,0.9996176558539591,3342.027145582824
139,Gene_1682,0.4908487,0.12325933,0.6235334746884293,0.9996176558539591,2805.063221085659
140,Gene_1632,0.49071178,0.14157446,0.6236303210249546,0.9996176558539591,1746.5180808681405
141,Gene_0442,0.49067068,0.13907179,0.6236593761948103,0.9996176558539591,716.1525221653334
142,Gene_0221,0.48943847,0.16245952,0.6245313034173487,0.9996176558539591,517.3735434193807
143,Gene_1816,0.48311308,0.14404735,0.6290154552340045,0.9996176558539591,4166.015748905506
144,Gene_1475,0.48278448,0.1328978,0.6292487743595835,0.9996176558539591,4596.067833303712
145,Gene_0794,0.47962177,0.29936337,0.6314963608581018,0.9996176558539591,3266.450831483283
146,Gene_0014,0.47826633,0.16875191,0.6324606576999275,0.9996176558539591,561.9988685593927
147,Gene_1496,0.47576082,0.17003661,0.6342447910585629,0.9996176558539591,2040.0347235967915
148,Gene_0852,0.47422737,0.13463587,0.6353377699606,0.9996176558539591,3658.249040520528
149,Gene_0214,0.47355652,0.13574962,0.635816198368794,0.9996176558539591,3910.113375849837
150,Gene_1108,0.47237906,0.12418348,0.6366562564874441,0.9996176558539591,635.1821803408885
151,Gene_0361,0.466437,0.14237309,0.6409027315720494,0.9996176558539591,50.15205828464296
152,Gene_1527,0.46159026,0.9295002,0.6443751788976818,0.9996176558539591,3575.0783771089946
153,Gene_0625,0.46139857,0.12948066,0.6445126676156895,0.9996176558539591,1815.1510711317178
154,Gene_1535,0.45485413,0.12512898,0.6492141941606518,0.9996176558539591,1309.6825915103882
155,Gene_0935,0.44976094,0.27643073,0.6528828295063414,0.9996176558539591,113.84247545815093
156,Gene_1436,0.4483918,0.14393026,0.6538704597871587,0.9996176558539591,2724.4820634694233
157,Gene_0613,0.446653,0.097468436,0.6551256242928671,0.9996176558539591,4263.196140358609
158,Gene_0390,0.4406425,0.24343106,0.659471834940865,0.9996176558539591,4790.27664904931
159,Gene_0130,0.43424863,0.13261288,0.6641079019388467,0.9996176558539591,2850.437505535782
160,Lgr5,0.43151036,0.15559295,0.6660973208474322,0.9996176558539591,2596.583572312476
161,Gene_1572,0.43148297,0.13702518,0.6661172269347116,0.9996176558539591,471.0291081717435
162,Gene_0728,0.42726603,0.14611892,0.6691855640253264,0.9996176558539591,2766.920367635869
163,Gene_0561,0.42706066,0.4891753,0.6693351376910659,0.9996176558539591,1930.8964408787033
164,Gene_1253,0.42648563,0.24974321,0.669754013731851,0.9996176558539591,3055.3196403737056
165,Gene_1151,0.42585585,0.128591,0.670212900607654,0.9996176558539591,1974.1954219889062
166,Gene_1893,0.42552724,0.17814322,0.6704523687212276,0.9996176558539591,1239.4806610793155
167,Gene_0004,0.40968636,0.14113912,0.6820360484245376,0.9996176558539591,520.0781123804636
168,Gene_0011,0.40635934,0.10623459,0.6844785861359381,0.9996176558539591,1608.8463007150337
169,Gene_0472,0.40301865,0.17703737,0.6869345002735419,0.9996176558539591,528.3919297243738
170,Gene_0626,0.40242994,0.16953883,0.6873676483994517,0.9996176558539591,925.6399065787205
171,Gene_1716,0.40207395,0.12985097,0.6876296017162189,0.9996176558539591,4937.313984968752
172,Gene_0604,0.39884278,0.13746503,0.6900090432066113,0.9996176558539591,2248.312606687762
173,Gene_1531,0.39657003,0.17532273,0.6916845576008532,0.9996176558539591,2682.765244199832
174,Gene_1007,0.39394128,0.22914039,0.6936243858112616,0.9996176558539591,4374.411717249216
175,Gene_1167,0.38879335,0.13074282,0.697429027534638,0.9996176558539591,4978.066057428905
176,Gene_0814,0.38513774,0.14500968,0.7001353611926728,0.9996176558539591,2934.4365242561735
177,Gene_0356,0.381578,0.116205335,0.7027744068483093,0.9996176558539591,4071.74541416865
178,Gene_1004,0.3804827,0.12835976,0.7035871438908068,0.9996176558539591,1668.3580704665426
179,Gene_0872,0.38003087,0.2540576,0.7039224966632052,0.9996176558539591,1563.432589364091
180,Gene_1551,0.37722415,0.13834871,0.7060070364571196,0.9996176558539591,2043.383418923073
181,Gene_1628,0.37306198,0.2549201,0.7091023175679181,0.9996176558539591,3378.910950234563
182,Gene_1487,0.3716381,0.09614367,0.7101623360693403,0.9996176558539591,3426.848861812739
183,Gene_1542,0.3712821,0.16558526,0.7104274284365157,0.9996176558539591,1610.4352015147815
184,Gene_0830,0.3706934,0.16801415,0.7108659273081797,0.9996176558539591,709.389124476312
185,Gene_0829,0.36958438,0.12526911,0.7116921966529656,0.9996176558539591,3180.3614695042675
186,Gene_0854,0.3654359,0.11291355,0.7147860524479515,0.9996176558539591,685.2130178343843
187,Gene_1741,0.3634917,0.08689417,0.7162375964145251,0.9996176558539591,2913.537915735184
188,Gene_0682,0.36056176,0.12470295,0.7184270715007786,0.9996176558539591,3482.4395338787294
189,Gene_0042,0.3598498,0.12256242,0.7189594435992493,0.9996176558539591,3518.0269071525354
190,Gene_1291,0.3590968,0.105979025,0.7195226779079641,0.9996176558539591,3779.686947765004
191,Gene_0155,0.35730323,0.12521946,0.7208648125841983,0.9996176558539591,4370.6541367500395
192,Gene_1304,0.3560847,0.106227994,0.7217771355981613,0.9996176558539591,2524.7970102257027
193,Gene_0177,0.35441434,0.12922259,0.7230283788228364,0.9996176558539591,3664.7334881713773
194,Gene_1177,0.35188144,0.7493877,0.7249271685106247,0.9996176558539591,3114.9050400608917
195,Gene_1533,0.34839016,0.15685314,0.7275471922139205,0.9996176558539591,973.8677019985287
196,Gene_1447,0.3464597,0.10932787,0.7289972820689907,0.9996176558539591,177.16374210357043
197,Gene_1774,0.34576142,0.15943807,0.7295220218290484,0.9996176558539591,1458.479859100822
198,Gene_1250,0.34489885,0.11859315,0.7301704046736242,0.9996176558539591,2243.016846371216
199,Gene_0835,0.33984676,0.1529259,0.7339719359065215,0.9996176558539591,3104.6744249218486
200,Gene_1368,0.33731386,0.09503314,0.7358803166109096,0.9996176558539591,4257.298685990867
201,Gene_1252,0.33688942,0.11617095,0.7362002591857667,0.9996176558539591,1021.4162976955199
202,Gene_1679,0.3332475,0.1134582,0.7389474481227887,0.9996176558539591,671.4714599974616
203,Gene_0308,0.3286883,0.11703442,0.7423912967942357,0.9996176558539591,4819.225739997922
204,Gene_1249,0.3282091,0.21629636,0.7427535639225156,0.9996176558539591,584.8205689132152
205,Gene_1692,0.32705903,0.11825565,0.7436232373704323,0.9996176558539591,2418.530797030586
206,Gene_0059,0.32389632,0.11029674,0.7460165232923507,0.9996176558539591,2948.5404575268444
207,Gene_1378,0.31854302,0.15419035,0.7500730749111588,0.9996176558539591,2729.803383491819
208,Gene_1274,0.31769416,0.13614511,0.7507169519206583,0.9996176558539591,475.85917731306887
209,Gene_1040,0.3142987,0.10840945,0.7532941924188097,0.9996176558539591,332.2832243179159
210,Gene_0684,0.31343615,0.10036537,0.7539493340267347,0.9996176558539591,572.1429659321266
211,Gene_1804,0.3131623,0.12429032,0.7541573525552483,0.9996176558539591,2948.6590351694317
212,Gene_1603,0.30924657,0.10657813,0.7571339621625995,0.9996176558539591,2744.5071937898892
213,Gene_1283,0.3039891,0.11949207,0.7611361936015971,0.9996176558539591,1207.016920581884
214,Gene_0693,0.3006758,0.103500254,0.7636617279475283,0.9996176558539591,3206.982002135678
215,Gene_1693,0.3003609,0.108835354,0.7639018894586898,0.9996176558539591,4109.334135175464
216,Gene_0254,0.29962155,0.11114445,0.7644658361585676,0.9996176558539591,255.81585124063915
217,Gene_0205,0.29740357,0.11377388,0.7661584247713684,0.9996176558539591,2515.7432205628097
218,Gene_0514,0.2972119,0.10589351,0.7663047504002551,0.9996176558539591,3462.086539908317
219,Gene_0045,0.29681483,0.085034445,0.766607880001885,0.9996176558539591,1298.9440389949511
220,Gene_0064,0.29358366,0.11069815,0.7690760522960337,0.9996176558539591,1573.465981201088
221,Gene_0408,0.29317293,0.10697719,0.7693899713134333,0.9996176558539591,3087.50761979745
222,Gene_1578,0.29146153,0.12696116,0.770698373584711,0.9996176558539591,4494.779702546498
223,Gene_1689,0.29099602,0.102985114,0.7710543720807438,0.9996176558539591,4059.1258804993518
224,Gene_0929,0.28899708,0.1115921,0.7725836188084364,0.9996176558539591,2936.4945845429384
225,Gene_0668,0.28881907,0.13046184,0.7727198275404463,0.9996176558539591,3664.5975028983835
226,Gene_1419,0.2783178,0.10453602,0.7807684008717837,0.9996176558539591,1855.8712275286034
227,Gene_1886,0.27812615,0.10641057,0.7809155323622204,0.9996176558539591,3222.779364088851
228,Gene_0840,0.27570277,0.092158616,0.782776369585199,0.9996176558539591,2357.598876081407
229,Gene_0264,0.27410087,0.110281736,0.7840070979200906,0.9996176558539591,990.1838754649265
230,Gene_0136,0.27293712,0.11340506,0.7849015559387329,0.9996176558539591,3523.604455692423
231,Gene_0917,0.27289605,0.65510345,0.784933130243361,0.9996176558539591,2804.499954876669
232,Gene_0572,0.2726633,0.09836974,0.7851120579865652,0.9996176558539591,1825.1768306702775
233,Gene_1295,0.27240315,0.91504985,0.7853120494903006,0.9996176558539591,4561.128990889222
234,Gene_0178,0.27086973,0.68279314,0.7864912343590105,0.9996176558539591,153.62388324232967
235,Gene_0347,0.26989764,0.109965466,0.787239007212273,0.9996176558539591,1613.0770986850052
236,Gene_1139,0.2685285,0.13301335,0.7882925410600311,0.9996176558539591,331.5629189993505
237,Gene_0753,0.26844636,0.081078134,0.7883557654286317,0.9996176558539591,3844.3102152970546
238,Gene_1824,0.26833683,0.13114592,0.7884400667555498,0.9996176558539591,3525.431897863273
239,Gene_1314,0.2674058,0.42542347,0.7891567279787361,0.9996176558539591,1690.1934827447694
240,Mmp8,0.2652015,0.07446006,0.7908542391568167,0.9996176558539591,3394.5313659250114
241,Gene_0807,0.26465383,0.10936639,0.7912761353061555,0.9996176558539591,2009.8892696699518
242,Gene_0722,0.26342162,0.35243115,0.7922256250554591,0.9996176558539591,3793.45626754105
243,Gene_0418,0.2607518,0.1082805,0.7942839085181269,0.9996176558539591,2298.209130546695
244,Acta2,0.25994402,0.17946467,0.794906954289632,0.9996176558539591,2090.7846527667443
245,Gene_1754,0.2564938,0.110839374,0.7975695671750314,0.9996176558539591,4676.9130816670895
246,Gene_0005,0.25563124,0.15796094,0.7982355898892539,0.9996176558539591,1291.8515444589661
247,Gene_0513,0.25337216,0.111045,0.7999806299659414,0.9996176558539591,646.2143329829988
248,Pmel,0.2530025,0.040894497,0.8002662773228393,0.9996176558539591,2943.488410634318
249,Gene_0208,0.2522221,0.08289307,0.8008693983242563,0.9996176558539591,4848.142970806685
250,Gene_1218,0.2509625,0.09564057,0.8018431070984611,0.9996176558539591,1920.304107949574
251,Gene_1069,0.24930584,0.07479906,0.8031242142861179,0.9996176558539591,357.08197996246855
252,Gene_1443,0.24886772,0.089697465,0.8034631081150768,0.9996176558539591,1729.5610731823588
253,Gene_1493,0.2485939,0.10550553,0.8036749355273546,0.9996176558539591,2554.361688881814
254,Gene_0721,0.24456863,0.09428066,0.8067904546188487,0.9996176558539591,851.5188828294579
255,Gene_0255,0.24157022,0.07109749,0.8091131952858055,0.9996176558539591,3307.6059793796358
256,Gene_1455,0.24141963,0.09846095,0.8092299071803954,0.9996176558539591,4988.859475600493
257,Gene_1873,0.23840752,0.09390138,0.8115650329109966,0.9996176558539591,2286.110406108147
258,Dct,0.23835276,0.026298746,0.8116075053300145,0.9996176558539591,1805.9063558145526
259,Gene_0223,0.23683302,0.3044408,0.8127863356905963,0.9996176558539591,2033.48562583061
260,Gene_0106,0.23502576,0.30864316,0.8141887401894761,0.9996176558539591,619.9735830562456
261,Gene_0601,0.23499838,0.08938983,0.8142099933354491,0.9996176558539591,4422.204327059808
262,Gene_0588,0.23276669,0.1588983,0.8159425831506681,0.9996176558539591,2103.3869948306924
263,Gene_0049,0.23257501,0.1145146,0.8160914366434712,0.9996176558539591,1967.0083365529645
264,Gene_1557,0.23231487,0.077979386,0.8162934627112131,0.9996176558539591,3315.4668510058477
265,Gene_0314,0.22997364,0.22424625,0.8181122451952012,0.9996176558539591,2238.0654336090615
266,Gene_0175,0.22923432,0.093173966,0.818686801509737,0.9996176558539591,3258.755670598838
267,Gene_0325,0.22889203,0.20081788,0.8189528328006388,0.9996176558539591,354.15913614739816
268,Gene_0717,0.22724907,0.10916938,0.8202300726149678,0.9996176558539591,4077.930551425026
269,Gene_1783,0.22708477,0.20114961,0.8203578228832331,0.9996176558539591,4705.494566753043
270,Gene_0848,0.22179991,0.08930824,0.8244696475516922,0.9996176558539591,3261.38866148896
271,Gene_1534,0.21919855,0.09607321,0.8264953806410975,0.9996176558539591,4775.101347851113
272,Gene_1672,0.21728176,0.07830609,0.8279887661551746,0.9996176558539591,799.5899561313183
273,Gene_1520,0.21715854,0.4695113,0.8280847908469635,0.9996176558539591,2413.2101379277506
274,Gene_1501,0.21531022,0.0659982,0.8295254687897484,0.9996176558539591,3028.943333029964
275,Gene_0463,0.2137494,0.09637397,0.8307424880498891,0.9996176558539591,2929.5964047348743
276,Gene_0370,0.20773889,0.08733216,0.8354328475593364,0.9996176558539591,2037.235806490764
277,Gene_0991,0.2067805,0.0920251,0.8361812867809415,0.9996176558539591,1723.517826362994
278,Gene_1341,0.20152302,0.11141259,0.8402896318393356,0.9996176558539591,677.7789116245731
279,Gene_1799,0.20083845,0.1829339,0.8408248953817287,0.9996176558539591,1989.125130283277
280,Gene_0318,0.20074262,0.09272325,0.8408998381562199,0.9996176558539591,855.1710347721514
281,Gene_0179,0.19912703,0.058008414,0.8421633756982831,0.9996176558539591,3685.110098636481
282,Lor,0.19799066,0.017829673,0.8430523788982629,0.9996176558539591,1083.7131306982203
283,Gene_1262,0.19541667,0.07292475,0.8450667626910614,0.9996176558539591,339.89826115844255
284,Gene_1160,0.19517024,0.07545568,0.8452596825906246,0.9996176558539591,2784.21238219531
285,Gene_1155,0.19397908,0.0749513,0.8461922593825535,0.9996176558539591,2996.3871769610378
286,Gene_0380,0.19155571,0.07309835,0.8480902346486777,0.9996176558539591,4365.969653338502
287,Gene_1585,0.19155571,0.09465576,0.8480902346486777,0.9996176558539591,2906.0589814675254
288,Gene_0405,0.19030981,0.855428,0.849066373528151,0.9996176558539591,1760.1302259310564
289,Gene_0099,0.18865314,0.08126698,0.8503646747109612,0.9996176558539591,4024.9088135552865
290,Gene_1256,0.18788643,0.064423665,0.8509656789548492,0.9996176558539591,2724.3805212777343
291,Gene_1010,0.18724294,0.09353875,0.8514701600744758,0.9996176558539591,442.4374089243991
292,Gene_0581,0.18705127,0.123704724,0.851620442805806,0.9996176558539591,2850.960273550571
